title	name	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal	
		Enteric virus												
			Norovirus											
														
														
purpose of sampling menu	PurposeOfSamplingMenu	Cluster/Outbreak investigation					GENEPIO:0100001							
		Diagnostic testing					GENEPIO:0100002							
		Research					GENEPIO:0100003							
		Surveillance 					GENEPIO:0100004							
														
														
purpose of sequencing menu	PurposeOfSequencingMenu	Baseline surveillance (random sampling)					GENEPIO:0100005							
		Targeted surveillance (non-random sampling)					GENEPIO:0100006							
			Priority surveillance project				GENEPIO:0100007							
				Screening for Variants of Concern (VoC)			GENEPIO:0100008							
					Sample has epidemiological link to Variant of Concern (VoC)		GENEPIO:0100273							
						Sample has epidemiological link to Omicron Variant 	GENEPIO:0100274							
				Longitudinal surveillance (repeat sampling of individuals) 			GENEPIO:0100009							
				Re-infection surveillance 			GENEPIO:0100010							
				Vaccine escape surveillance			GENEPIO:0100011							
				Travel-associated surveillance			GENEPIO:0100012							
					Domestic travel surveillance		GENEPIO:0100013							
						Interstate/ interprovincial travel surveillance	GENEPIO:0100275							
						Intra-state/ intra-provincial travel surveillance	GENEPIO:0100276							
					International travel surveillance		GENEPIO:0100014							
						Surveillance of international border crossing by air travel or ground transport	GENEPIO:0100015							
						Surveillance of international border crossing by air travel	GENEPIO:0100016							
						Surveillance of international border crossing by ground transport	GENEPIO:0100017							
						Surveillance from international worker testing	GENEPIO:0100018							
		Cluster/Outbreak investigation					GENEPIO:0100019							
			Multi-jurisdictional outbreak investigation				GENEPIO:0100020							
			Intra-jurisdictional outbreak investigation				GENEPIO:0100021							
		Research					GENEPIO:0100022							
			Protocol testing experiment				GENEPIO:0100024							
		Retrospective sequencing					GENEPIO:0100356							
														
														
specimen processing menu	SpecimenProcessingMenu	Virus passage					GENEPIO:0100039							
		RNA re-extraction (post RT-PCR)					GENEPIO:0100040							
		Specimens pooled					OBI:0600016							
														
														
host disease menu	HostDiseaseMenu	COVID-19					MONDO:0100096							
		Gastrointestinal disease												
														
														
host age bin menu	HostAgeBinMenu	0 - 9					GENEPIO:0100049							
		10 - 19					GENEPIO:0100050							
		20 - 29					GENEPIO:0100051							
		30 - 39					GENEPIO:0100052							
		40 - 49					GENEPIO:0100053							
		50 - 59					GENEPIO:0100054							
		60 - 69					GENEPIO:0100055							
		70 - 79					GENEPIO:0100056							
		80 - 89					GENEPIO:0100057							
		90 - 99					GENEPIO:0100058						90+	
		100+					GENEPIO:0100059						90+	
														
														
host gender menu	HostGenderMenu	Female					NCIT:C46110							
		Male					NCIT:C46109							
		Non-binary gender					GSSO:000132							
		Transgender (assigned male at birth)					GSSO:004004							
		Transgender (assigned female at birth)					GSSO:004005							
		Undeclared					NCIT:C110959							
														
														
sequencing instrument menu	SequencingInstrumentMenu	Illumina					GENEPIO:0100105							
			Illumina Genome Analyzer				GENEPIO:0100106							
				Illumina Genome Analyzer II			GENEPIO:0100107							
				Illumina Genome Analyzer IIx			GENEPIO:0100108							
			Illumina HiScanSQ				GENEPIO:0100109							
			Illumina HiSeq 				GENEPIO:0100110							
				Illumina HiSeq X 			GENEPIO:0100111							
					Illumina HiSeq X Five		GENEPIO:0100112							
					Illumina HiSeq X Ten		GENEPIO:0100113							
				Illumina HiSeq 1000			GENEPIO:0100114							
				Illumina HiSeq 1500			GENEPIO:0100115							
				Illumina HiSeq 2000			GENEPIO:0100116							
				Illumina HiSeq 2500			GENEPIO:0100117							
				Illumina HiSeq 3000			GENEPIO:0100118							
				Illumina HiSeq 4000			GENEPIO:0100119							
			Illumina iSeq				GENEPIO:0100120							
				Illumina iSeq 100			GENEPIO:0100121							
			Illumina NovaSeq				GENEPIO:0100122							
				Illumina NovaSeq 6000			GENEPIO:0100123							
			Illumina MiniSeq				GENEPIO:0100124							
			Illumina MiSeq				GENEPIO:0100125							
			Illumina NextSeq 				GENEPIO:0100126							
				Illumina NextSeq 500			GENEPIO:0100127							
				Illumina NextSeq 550			GENEPIO:0100128							
				Illumina NextSeq 2000			GENEPIO:0100129							
		Pacific Biosciences					GENEPIO:0100130							
			PacBio RS				GENEPIO:0100131							
			PacBio RS II				GENEPIO:0100132							
			PacBio Sequel				GENEPIO:0100133							
			PacBio Sequel II				GENEPIO:0100134							
		Ion Torrent					GENEPIO:0100135							
			Ion Torrent PGM				GENEPIO:0100136							
			Ion Torrent Proton				GENEPIO:0100137							
			Ion Torrent S5 XL				GENEPIO:0100138							
			Ion Torrent S5				GENEPIO:0100139							
		Oxford Nanopore					GENEPIO:0100140							
			Oxford Nanopore GridION				GENEPIO:0100141							
			Oxford Nanopore MinION				GENEPIO:0100142							
			Oxford Nanopore PromethION				GENEPIO:0100143							
		BGI Genomics					GENEPIO:0100144							
			BGI Genomics BGISEQ-500				GENEPIO:0100145							
		MGI					GENEPIO:0100146							
			MGI DNBSEQ-T7				GENEPIO:0100147							
			MGI DNBSEQ-G400				GENEPIO:0100148							
			MGI DNBSEQ-G400 FAST				GENEPIO:0100149							
			MGI DNBSEQ-G50				GENEPIO:0100150							
														
														
sequenced by menu	SequencedByMenu	Alberta Precision Labs (APL)												
			Alberta ProvLab North (APLN)											
			Alberta ProvLab South (APLS)											
		BCCDC Public Health Laboratory												
		Laboratoire de santé publique du Québec (LSPQ)												
		Manitoba Cadham Provincial Laboratory												
		National Microbiology Laboratory (NML)												
		New Brunswick - Vitalité Health Network												
		Newfoundland and Labrador - Eastern Health												
		Nova Scotia Health Authority												
		Ontario Institute for Cancer Research (OICR)												
		Prince Edward Island - Health PEI												
		Public Health Ontario (PHO)												
		Saskatchewan - Roy Romanow Provincial Laboratory (RRPL)												
														
														
sequence submitted by menu	SequenceSubmittedByMenu	Alberta Precision Labs (APL)												
			Alberta ProvLab North (APLN)											
			Alberta ProvLab South (APLS)											
		BCCDC Public Health Laboratory												
		Canadore College												
		The Centre for Applied Genomics (TCAG)												
		Dynacare												
		Dynacare (Brampton)												
		Dynacare (Manitoba)												
		The Hospital for Sick Children (SickKids)												
		Laboratoire de santé publique du Québec (LSPQ)												
		Manitoba Cadham Provincial Laboratory												
		McGill University												
		McMaster University												
		National Microbiology Laboratory (NML)												
		New Brunswick - Vitalité Health Network												
		Newfoundland and Labrador - Eastern Health												
		Nova Scotia Health Authority												
		Ontario Institute for Cancer Research (OICR)												
		Prince Edward Island - Health PEI												
		Public Health Ontario (PHO)												
		Queen's University / Kingston Health Sciences Centre												
		Saskatchewan - Roy Romanow Provincial Laboratory (RRPL)												
		Sunnybrook Health Sciences Centre												
		Thunder Bay Regional Health Sciences Centre												
														
														
 sample collected by menu	SampleCollectedByMenu	Alberta Precision Labs (APL)												
			Alberta ProvLab North (APLN)											
			Alberta ProvLab South (APLS)											
		BCCDC Public Health Laboratory												
		Dynacare												
		Dynacare (Manitoba)												
		Dynacare (Brampton)												
		Eastern Ontario Regional Laboratory Association												
		Hamilton Health Sciences												
		The Hospital for Sick Children (SickKids)												
		Laboratoire de santé publique du Québec (LSPQ)												
		Lake of the Woods District Hospital - Ontario												
		LifeLabs												
		LifeLabs (Ontario)												
		Manitoba Cadham Provincial Laboratory												
		McMaster University												
		Mount Sinai Hospital												
		National Microbiology Laboratory (NML)												
		New Brunswick - Vitalité Health Network												
		Newfoundland and Labrador - Eastern Health												
		Nova Scotia Health Authority												
		Nunavut												
		Ontario Institute for Cancer Research (OICR)												
		Prince Edward Island - Health PEI												
		Public Health Ontario (PHO)												
		Queen's University / Kingston Health Sciences Centre												
		Saskatchewan - Roy Romanow Provincial Laboratory (RRPL)												
		Shared Hospital Laboratory												
		St. John's Rehab at Sunnybrook Hospital												
		Switch Health												
		Sunnybrook Health Sciences Centre												
		Unity Health Toronto												
		William Osler Health System												
														
														
geo_loc_name (country) menu	GeoLocNameCountryMenu	Afghanistan					GAZ:00006882							
		Albania					GAZ:00002953							
		Algeria					GAZ:00000563							
		American Samoa					GAZ:00003957							
